Timestamp,Flux
-0.82,-40.81
-0.93,-46.32
-0.93,-46.73
-0.85,-42.26
-0.97,-48.73
-1.0,-49.94
-0.99,-49.52
-1.07,-53.45
-1.03,-51.52
-0.92,-46.18
-0.94,-46.77
-1.04,-52.21
-1.12,-55.89
-1.05,-52.55
-1.17,-58.27
-1.18,-59.2
-1.17,-58.51
-1.08,-53.9
-1.08,-53.9
-0.95,-47.42
-0.92,-45.87
-0.95,-47.32
-0.98,-49.07
-1.0,-50.14
-1.0,-50.14
-0.97,-48.73
-0.98,-49.11
-1.01,-50.35
-1.01,-50.35
-0.98,-48.97
-1.0,-49.9
-0.9,-45.08
-0.98,-49.11
-1.13,-56.58
-1.21,-60.54
-1.29,-64.43
-1.19,-59.47
-1.16,-57.89
-1.2,-60.13
-1.34,-67.15
-1.36,-68.08
-1.33,-66.67
-1.23,-61.75
-1.35,-67.74
-1.37,-68.43
-1.32,-65.92
-1.41,-70.63
-1.33,-66.6
-1.18,-59.13
-1.26,-63.02
-1.21,-60.41
-1.3,-64.88
-1.22,-60.78
-1.18,-58.96
-1.12,-56.07
-1.01,-50.45
-1.02,-51.18
-1.14,-57.17
-1.09,-54.62
-1.06,-53.07
-1.08,-53.9
-1.09,-54.65
-1.23,-61.51
-1.32,-66.05
-1.27,-63.5
-1.27,-63.4
-1.18,-58.92
-1.18,-58.92
-1.16,-58.03
-1.17,-58.72
-1.27,-63.47
-1.34,-66.78
-1.3,-65.05
-1.32,-66.12
-1.37,-68.43
-1.4,-70.01
-1.37,-68.67
-1.31,-65.67
-1.37,-68.5
-1.34,-67.12
-1.35,-67.6
-1.47,-73.35
-1.6,-79.93
-1.51,-75.59
-1.42,-70.77
-1.44,-72.04
-1.27,-63.61
-1.26,-62.85
-1.27,-63.3
-1.23,-61.61
-1.19,-59.68
-1.11,-55.55
-1.14,-57.17
-1.08,-53.93
-1.12,-55.76
-1.11,-55.31
-1.12,-56.13
-1.08,-54.1
-1.2,-59.79
-1.29,-64.3
-1.28,-64.19
-1.37,-68.39
-1.46,-73.01
-1.43,-71.7
-1.35,-67.6
-1.27,-63.26
-1.36,-67.95
-1.33,-66.47
-1.37,-68.29
-1.25,-62.54
-1.27,-63.64
-1.25,-62.3
-1.23,-61.4
-1.23,-61.75
-1.24,-61.82
-1.12,-55.89
-1.14,-56.79
-1.05,-52.45
-1.07,-53.52
-1.21,-60.27
-1.32,-65.88
-1.34,-66.81
-1.26,-62.82
-1.14,-56.86
-1.3,-65.16
-1.35,-67.53
-1.39,-69.57
-1.32,-65.92
-1.2,-59.89
-1.2,-59.85
-1.32,-66.02
-1.36,-68.15
-1.39,-69.53
-1.4,-69.91
-1.44,-71.87
-1.39,-69.74
-1.28,-64.13
-1.28,-64.13
-1.39,-69.43
-1.39,-69.63
-1.38,-68.77
-1.31,-65.71
-1.44,-71.84
-1.54,-77.0
-1.53,-76.56
-1.5,-74.83
-1.48,-73.77
-1.6,-80.0
-1.62,-80.93
-1.56,-77.9
-1.58,-79.24
-1.58,-79.24
-1.7,-85.13
-1.7,-85.17
-1.71,-85.3
-1.64,-82.24
-1.65,-82.51
-1.62,-81.0
-1.61,-80.62
-1.66,-82.93
-1.65,-82.48
-1.65,-82.41
-1.42,-71.01
-1.38,-69.22
-1.35,-67.53
-1.37,-68.53
-1.37,-68.53
-1.4,-69.91
-1.39,-69.7
-1.3,-65.02
-1.3,-64.85
-1.33,-66.36
-1.34,-66.81
-1.33,-66.57
-1.35,-67.53
-1.27,-63.54
-1.24,-61.89
-1.31,-65.64
-1.37,-68.53
-1.38,-68.84
-1.26,-63.02
-1.34,-66.84
-1.19,-59.58
-1.2,-60.16
-1.22,-60.96
-1.24,-61.78
-1.12,-55.79
-1.09,-54.27
-0.99,-49.73
-1.0,-49.94
-1.11,-55.69
-1.02,-51.24
-1.04,-51.97
-0.99,-49.35
-1.01,-50.56
-1.1,-54.96
-1.11,-55.58
-1.21,-60.61
-1.22,-61.2
-1.22,-61.02
-1.22,-61.23
-1.3,-64.92
-1.34,-66.88
-1.46,-73.15
-1.43,-71.49
-1.31,-65.74
-1.41,-70.25
-1.44,-72.18
-1.46,-72.97
-1.43,-71.49
-1.34,-67.09
-1.37,-68.46
-1.36,-68.12
-1.33,-66.33
-66.3,-3314.81
-149.62,-7481.0
-232.38,-11619.14
-314.64,-15732.23
-396.77,-19838.64
-479.36,-23968.23
-562.37,-28118.69
-645.32,-32265.95
-728.06,-36403.07
-810.61,-40530.66
-892.74,-44636.93
-974.02,-48701.2
-1053.4,-52669.79
-1131.36,-56567.77
-1210.04,-60502.03
-1224.6,-61230.02
-1221.07,-61053.29
-1217.05,-60852.54
-1212.03,-60601.38
-1206.29,-60314.34
-1203.37,-60168.45
-1197.09,-59854.51
-1190.48,-59524.04
-1183.81,-59190.41
-1178.99,-58949.48
-1175.73,-58786.41
-1173.78,-58688.88
-1172.56,-58627.75
-1170.67,-58533.5
-1166.15,-58307.37
-1161.4,-58070.23
-1156.84,-57841.76
-1153.73,-57686.68
-1153.32,-57665.88
-1155.39,-57769.54
-1155.38,-57768.92
-1158.06,-57902.85
-1159.13,-57956.54
-1158.6,-57929.82
-1155.8,-57790.2
-1151.71,-57585.54
